"ville;CP;Latitude ville;Longitude ville"
"Gouvernes;77400;48.86056;2.69167"
"la Grande-Paroisse;77130;48.38694;2.89778"
"Grandpuits-Bailly-Carrois;77720;48.58500;2.96611"
"Gravon;77118;48.39833;3.12028"
"Gressy;77410;48.96556;2.67389"
"Gretz-Armainvilliers;77220;48.74083;2.73222"
"Grez-sur-Loing;77880;48.31694;2.69111"
"Grisy-Suisnes;77166;48.68528;2.66861"
"Grisy-sur-Seine;77480;48.43889;3.32000"
"Guérard;77580;48.82361;2.95917"
"Guercheville;77760;48.25917;2.55806"
"Guermantes;77600;48.85472;2.70417"
"Guignes;77390;48.63722;2.79750"
"Gurcy-le-Châtel;77520;48.47028;3.09194"
"la Haute-Maison;77580;48.88194;3.00250"
"Hautefeuille;77515;48.76611;2.96833"
"Héricy;77850;48.44667;2.76250"
"Hermé;77114;48.48167;3.34389"
"Hondevilliers;77510;48.89944;3.30917"
"la Houssaye-en-Brie;77610;48.75389;2.87417"
"Ichy;77890;48.20167;2.54917"
"Isles-les-Meldeuses;77440;48.99833;3.00472"
"Isles-lès-Villenoy;77450;48.91167;2.82833"
"Iverny;77165;48.99944;2.79000"
"Jablines;77450;48.91694;2.76194"
"Jaignes;77440;48.99083;3.05361"
"Jaulnes;77480;48.41778;3.27361"
"Jossigny;77600;48.83805;2.75306"
"Jouarre;77640;48.92750;3.12889"
"Jouy-le-Châtel;77970;48.66722;3.12972"
"Jouy-sur-Morin;77320;48.79528;3.27250"
"Juilly;77230;49.01250;2.70694"
"Jutigny;77650;48.49861;3.23333"
"Lagny-sur-Marne;77400;48.87278;2.70972"
"Larchant;77760;48.28417;2.59611"
"Laval-en-Brie;77148;48.42389;2.99778"
"Léchelle;77171;48.57722;3.39111"
"Lescherolles;77320;48.76333;3.34611"
"Lesches;77450;48.90750;2.77917"
"Lésigny;77150;48.74417;2.61639"
"Leudon-en-Brie;77320;48.73417;3.27139"
"Lieusaint;77127;48.63139;2.55250"
"Limoges-Fourches;77550;48.62695;2.66556"
"Lissy;77550;48.62695;2.69611"
"Liverdy-en-Brie;77220;48.70028;2.77611"
"Livry-sur-Seine;77000;48.51222;2.68583"
"Lizines;77650;48.52639;3.17944"
"Lizy-sur-Ourcq;77440;49.02417;3.02222"
"Lognes;77185;48.83528;2.63000"
"Longperrier;77230;49.05222;2.65944"
"Longueville;77650;48.51389;3.24639"
"Lorrez-le-Bocage-Préaux;77710;48.23639;2.90167"
"Louan-Villegruis-Fontaine;77560;48.62556;3.48000"
"Luisetaines;77520;48.46722;3.18111"
"Lumigny-Nesles-Ormeaux;77540;48.73750;2.95278"
"Luzancy;77138;48.97222;3.18750"
"Machault;77133;48.45528;2.83028"
"la Madeleine-sur-Loing;77570;48.20333;2.70667"
"Magny-le-Hongre;77700;48.86306;2.81333"
"Maincy;77950;48.55028;2.70111"
"Maison-Rouge;77370;48.55889;3.15056"
"Maisoncelles-en-Brie;77580;48.86333;2.99222"
"Maisoncelles-en-Gâtinais;77570;48.18722;2.62556"
"Marchémoret;77230;49.04972;2.77167"
"Marcilly;77139;49.03611;2.88194"
"les Marêts;77560;48.67083;3.31333"
"Mareuil-lès-Meaux;77100;48.92583;2.86000"
"Marles-en-Brie;77610;48.72833;2.87944"
"Marolles-en-Brie;77120;48.77806;3.16500"
"Marolles-sur-Seine;77130;48.38528;3.03194"
"Mary-sur-Marne;77440;49.01444;3.02944"
"Mauperthuis;77120;48.76861;3.03944"
"Mauregard;77990;49.03250;2.58167"
"May-en-Multien;77145;49.07250;3.02361"
"Meaux;77100;48.95889;2.88778"
"le Mée-sur-Seine;77350;48.53333;2.62889"
"Meigneux;77520;48.51167;3.10556"
"Meilleray;77320;48.79028;3.42611"
"Melun   ;77000;48.54056;2.65722"
"Melz-sur-Seine;77171;48.49805;3.41806"
"Méry-sur-Marne;77730;48.96639;3.19944"
"le Mesnil-Amelot;77990;49.01667;2.59472"
"Messy;77410;48.96695;2.70250"
"Misy-sur-Yonne;77130;48.36000;3.09194"
"Mitry-Mory;77290;48.98333;2.61778"
"Moisenay;77950;48.56278;2.73611"
"Moissy-Cramayel;77550;48.62722;2.59444"
"Mondreville;77570;48.14194;2.61056"
"Mons-en-Montois;77520;48.48889;3.14722"
"Montceaux-lès-Meaux;77470;48.94278;2.98722"
"Montceaux-lès-Provins;77151;48.69417;3.43944"
"Montcourt-Fromonville;77140;48.30472;2.70444"
"Montdauphin;77320;48.85194;3.42833"
"Montenils;77320;48.84389;3.47750"
"Montereau-Fault-Yonne;77130;48.38528;2.95083"
"Montereau-sur-le-Jard;77950;48.59167;2.66972"
"Montévrain;77144;48.87500;2.74500"
"Montgé-en-Goële;77230;49.02806;2.74833"
"Monthyon;77122;49.00694;2.82778"
"Montigny-le-Guesdier;77480;48.38333;3.25556"
"Montigny-Lencoup;77520;48.45278;3.06417"
"Montigny-sur-Loing;77690;48.33361;2.74500"
"Montmachoux;77940;48.31805;2.99250"
"Montolivet;77320;48.83000;3.44028"
"Montry;77450;48.88833;2.82722"
"Moret-Loing-et-Orvanne;77250;48.37139;2.81444"
"Mormant;77720;48.60806;2.89167"
"Mortcerf;77163;48.79028;2.91750"
"Mortery;77160;48.59917;3.26111"
"Mouroux;77120;48.82222;3.03806"
"Mousseaux-lès-Bray;77480;48.41083;3.22917"
"Moussy-le-Neuf;77230;49.06333;2.60444"
"Moussy-le-Vieux;77230;49.04500;2.62583"
"Mouy-sur-Seine;77480;48.41972;3.24194"
"Nandy;77176;48.58167;2.56500"
"Nangis;77370;48.55944;3.01139"
"Nanteau-sur-Essonne;77760;48.31583;2.41722"
"Nanteau-sur-Lunain;77710;48.25611;2.81056"
"Nanteuil-lès-Meaux;77100;48.92250;2.90667"
"Nanteuil-sur-Marne;77730;48.98139;3.21972"
"Nantouillet;77230;49.00222;2.70417"
"Nemours;77140;48.26972;2.69556"
"Neufmoutiers-en-Brie;77610;48.76750;2.83111"
"Noisiel;77186;48.85500;2.62806"
"Noisy-Rudignon;77940;48.33556;2.93083"
"Noisy-sur-École;77123;48.36722;2.50778"
"Nonville;77140;48.28194;2.79333"
"Noyen-sur-Seine;77114;48.45167;3.35111"
"Obsonville;77890;48.21667;2.56111"
"Ocquerre;77440;49.03750;3.05944"
"Oissery;77178;49.06972;2.81889"
"Orly-sur-Morin;77750;48.90445;3.23028"
"les Ormes-sur-Voulzie;77134;48.46278;3.22861"
"Ormesson;77167;48.24333;2.65472"
"Othis;77280;49.07556;2.67611"
"Ozoir-la-Ferrière;77330;48.76167;2.67278"
"Ozouer-le-Voulgis;77390;48.66028;2.77472"
"Paley;77710;48.24055;2.86139"
"Pamfou;77830;48.46222;2.87194"
"Paroy;77520;48.47944;3.20083"
"Passy-sur-Seine;77480;48.42500;3.34944"
"Pécy;77970;48.65667;3.07917"
"Penchard;77124;48.98611;2.86056"
"Perthes;77930;48.47778;2.55361"
"Pézarches;77131;48.73750;2.99306"
"Pierre-Levée;77580;48.89972;3.03833"
"le Pin;77181;48.91444;2.62972"
"le Plessis-aux-Bois;77165;49.00250;2.76944"
"le Plessis-Feu-Aussoux;77540;48.71611;3.03444"
"le Plessis-l'Évêque;77165;49.00722;2.78528"
"le Plessis-Placy;77440;49.05722;2.98944"
"Poigny;77160;48.53889;3.28333"
"Poincy;77470;48.96972;2.93639"
"Poligny;77167;48.22417;2.74583"
"Pommeuse;77515;48.81722;3.01722"
"Pomponne;77400;48.88083;2.67917"
"Pontault-Combault;77340;48.80222;2.60694"
"Pontcarré;77135;48.80000;2.70528"
"Précy-sur-Marne;77410;48.93083;2.77528"
"Presles-en-Brie;77220;48.71583;2.74222"
"Pringy;77310;48.52194;2.55972"
"Provins;77160;48.56194;3.30083"
"Puisieux;77139;49.06583;2.91667"
"Quiers;77720;48.60611;2.97139"
"Quincy-Voisins;77860;48.89833;2.88333"
"Rampillon;77370;48.54972;3.06583"
"Réau;77550;48.61028;2.62444"
"Rebais;77510;48.84750;3.23278"
"Recloses;77760;48.34639;2.64167"
"Remauville;77710;48.21111;2.82556"
"Reuil-en-Brie;77260;48.96083;3.14667"
"la Rochette;77000;48.52306;2.65972"
"Roissy-en-Brie;77680;48.79056;2.65194"
"Rouilly;77160;48.59222;3.27806"
"Rouvres;77230;49.06167;2.71806"
"Rozay-en-Brie;77540;48.68389;2.95917"
"Rubelles;77950;48.56111;2.68028"
"Rumont;77760;48.26556;2.49806"
"Rupéreux;77560;48.63639;3.32944"
"Saâcy-sur-Marne;77730;48.96167;3.20972"
"Sablonnières;77510;48.87556;3.29639"
"Saint-Augustin;77515;48.78528;3.03083"
"Saint-Barthélemy;77320;48.81722;3.36139"
"Saint-Brice;77160;48.56778;3.32806"
"Saint-Cyr-sur-Morin;77750;48.90667;3.18250"
"Saint-Denis-lès-Rebais;77510;48.83639;3.21083"
